Regione, 1tot, 1perc, 2tot, 2perc, 3tot, 3perc, 4tot, 4perc, 5tot, 5perc, 6tot, 6perc, 7tot, 7perc
FRIULI-VENEZIA G., 0, 0.0, 0, 0.0, 24, 1.263823064770932, 125, 4.936808846761453, 240, 7.5829383886255926, 176, 4.634017904160085, 68, 1.5346422929361319
SICILIA, 3, 0.09193993257738278, 22, 0.3371130861170702, 259, 2.645826948615793, 827, 6.3361936867912965, 1122, 6.877106956788231, 861, 4.397793441618143, 169, 0.7398975526465567
LIGURIA, 0, 0.0, 0, 0.0, 25, 0.9968102073365231, 229, 6.848086124401914, 284, 6.794258373205742, 257, 5.123604465709729, 41, 0.7006151742993848
CALABRIA, 0, 0.0, 13, 0.36743923120407007, 118, 2.223478424722065, 311, 4.3951384963256075, 655, 7.405313736574336, 514, 4.842660636894667, 158, 1.2759428248405071
MARCHE, 0, 0.0, 10, 0.5268703898840885, 46, 1.6157358623112048, 231, 6.085353003161222, 258, 5.437302423603794, 318, 5.584826132771338, 86, 1.2945958151437604
PUGLIA, 0, 0.0, 6, 0.1411764705882353, 155, 2.4313725490196076, 477, 5.6117647058823525, 748, 7.04, 542, 4.250980392156863, 197, 1.3243697478991596
LAZIO, 0, 0.0, 5, 0.09538344143456697, 97, 1.2336258425537328, 638, 6.085463563525372, 944, 7.203357497138497, 749, 4.762813175632711, 188, 1.0246906851256337
PIEMONTE, 1, 0.05030181086519115, 5, 0.12575452716297786, 55, 0.9221998658618377, 486, 6.111670020120724, 786, 7.907444668008048, 533, 4.468477531857814, 122, 0.8766887036504742
ABRUZZO, 0, 0.0, 0, 0.0, 16, 0.642570281124498, 268, 8.072289156626505, 284, 6.843373493975903, 219, 4.397590361445783, 43, 0.7401032702237521
SARDEGNA, 4, 0.33984706881903143, 6, 0.2548853016142736, 127, 3.5967148116680825, 430, 9.13338997451147, 372, 6.321155480033985, 184, 2.605494194279241, 54, 0.6554193470081321
VENETO, 0, 0.0, 9, 0.17064846416382254, 125, 1.5800783718872455, 745, 7.062950322335988, 888, 6.734926052332196, 790, 4.993047655163696, 80, 0.4333929248605016
CAMPANIA, 10, 0.2901915264074289, 30, 0.4352872896111434, 283, 2.7374733991100793, 777, 5.636970400464307, 1197, 6.947185142193848, 895, 4.328690268910814, 254, 1.0529806815355278
MOLISE, 0, 0.0, 0, 0.0, 12, 1.556420233463035, 26, 2.529182879377432, 106, 8.249027237354085, 96, 6.22568093385214, 17, 0.9449694274596998
BASILICATA, 0, 0.0, 0, 0.0, 13, 0.8807588075880759, 114, 5.7926829268292686, 210, 8.536585365853659, 137, 4.6409214092140925, 18, 0.5226480836236934
UMBRIA, 1, 0.18018018018018017, 4, 0.36036036036036034, 10, 0.6006006006006006, 92, 4.1441441441441444, 235, 8.468468468468469, 167, 5.015015015015015, 46, 1.184041184041184
TOSCANA, 0, 0.0, 0, 0.0, 95, 1.574672633847174, 468, 5.818000994530085, 705, 7.011437095972153, 617, 5.113542184651085, 126, 0.8950770760815515
EMILIA ROMAGNA, 0, 0.0, 11, 0.2631578947368421, 94, 1.4992025518341308, 603, 7.212918660287081, 717, 6.861244019138756, 559, 4.457735247208931, 106, 0.7245386192754614
LOMBARDIA, 0, 0.0, 0, 0.0, 195, 1.3438081455447592, 1278, 6.605333884639239, 1731, 7.157328922886086, 1390, 4.789470057197987, 243, 0.7176821524557725