Provincia,MediaVal
BL,5.176470588235294
MS,5.115384615384615
KR,4.892857142857143
TE,5.133333333333334
PG,5.085714285714285
TO,4.945945945945946
TV,4.902777777777778
PA,4.757575757575758
RA,4.967741935483871
SI,5.125
TR,5.260869565217392
IS,5.4
AL,5.4
NU,4.655172413793103
GO,4.0
CN,4.777777777777778
SV,5.230769230769231
AN,5.4
BR,5.142857142857143
BA,5.251798561151079
BS,5.147368421052631
EN,5.142857142857143
BT,5.45
PT,4.6521739130434785
MT,5.130434782608695
RC,5.205882352941177
AQ,4.944444444444445
NA,4.761363636363637
FC,5.093023255813954
PI,4.925925925925926
BO,5.1625
PN,4.5
VI,5.0
SS,4.4655172413793105
PD,5.095890410958904
CR,5.206896551724138
LE,5.4021739130434785
LO,5.333333333333333
CE,5.1
OR,5.2631578947368425
CH,4.791666666666667
TS,4.875
FE,5.137931034482759
ME,5.1
SA,5.2748091603053435
PU,5.195121951219512
AG,4.962962962962963
TA,4.940298507462686
LU,5.095238095238095
BG,4.98019801980198
RI,4.826086956521739
CS,5.086538461538462
LC,4.96
CZ,5.2
CT,4.900763358778626
GR,5.032258064516129
IM,4.933333333333334
PR,4.771428571428571
SO,4.909090909090909
VE,5.014925373134329
SR,4.9411764705882355
SU,4.4375
PZ,4.910714285714286
NO,5.0
AV,5.08
FG,4.9879518072289155
MB,5.380952380952381
PE,4.966666666666667
SP,4.833333333333333
LT,5.203389830508475
MN,5.222222222222222
PV,4.545454545454546
CA,4.634615384615385
CO,5.0
BI,4.0
VT,5.225806451612903
MO,4.828125
RM,5.040462427745664
FR,5.218181818181818
PO,4.7894736842105265
LI,4.918918918918919
CB,5.0344827586206895
FI,5.228915662650603
RO,4.578947368421052
MC,5.09375
AP,5.333333333333333
VC,5.0
RE,5.023255813953488
AR,5.214285714285714
AT,4.333333333333333
TP,5.214285714285714
VB,5.333333333333333
CL,4.903225806451613
RN,5.153846153846154
RG,4.973684210526316
VA,4.945205479452055
FM,5.2
GE,5.132075471698113
VR,4.873015873015873
MI,5.094650205761317
BN,5.447368421052632
PC,4.96
VV,4.705882352941177
UD,5.166666666666667