Provincia,Numdi7,NumTot,Percentualedi7
BL,1,17,5.882352941176471
MS,1,26,3.8461538461538463
KR,1,28,3.5714285714285716
TE,1,30,3.3333333333333335
PG,4,70,5.714285714285714
TO,1,37,2.7027027027027026
TV,2,72,2.7777777777777777
PA,7,132,5.303030303030303
RA,0,31,0.0
SI,1,24,4.166666666666667
TR,1,23,4.3478260869565215
IS,1,10,10.0
AL,2,5,40.0
NU,1,29,3.4482758620689653
GO,0,1,0.0
CN,0,9,0.0
SV,2,26,7.6923076923076925
AN,8,55,14.545454545454545
BR,5,42,11.904761904761905
BA,22,139,15.827338129496402
BS,7,95,7.368421052631579
EN,1,14,7.142857142857143
BT,8,40,20.0
PT,0,23,0.0
MT,2,23,8.695652173913043
RC,9,68,13.235294117647058
AQ,2,36,5.555555555555555
NA,29,352,8.238636363636363
FC,4,43,9.30232558139535
PI,0,27,0.0
BO,6,80,7.5
PN,0,10,0.0
VI,2,67,2.985074626865672
SS,2,58,3.4482758620689653
PD,4,73,5.47945205479452
CR,1,29,3.4482758620689653
LE,15,92,16.304347826086957
LO,2,21,9.523809523809524
CE,7,100,7.0
OR,2,19,10.526315789473685
CH,1,48,2.0833333333333335
TS,1,8,12.5
FE,3,29,10.344827586206897
ME,3,70,4.285714285714286
SA,16,131,12.213740458015268
PU,2,41,4.878048780487805
AG,3,54,5.555555555555555
TA,6,67,8.955223880597014
LU,4,42,9.523809523809524
BG,2,101,1.9801980198019802
RI,1,23,4.3478260869565215
CS,8,104,7.6923076923076925
LC,0,25,0.0
CZ,2,45,4.444444444444445
CT,11,131,8.396946564885496
GR,2,31,6.451612903225806
IM,0,15,0.0
PR,0,35,0.0
SO,0,22,0.0
VE,1,67,1.492537313432836
SR,3,51,5.882352941176471
SU,0,48,0.0
PZ,0,56,0.0
NO,0,6,0.0
AV,2,50,4.0
FG,4,83,4.819277108433735
MB,7,63,11.11111111111111
PE,1,30,3.3333333333333335
SP,0,12,0.0
LT,5,59,8.474576271186441
MN,3,36,8.333333333333334
PV,1,33,3.0303030303030303
CA,3,52,5.769230769230769
CO,3,46,6.521739130434782
BI,0,2,0.0
VT,1,31,3.225806451612903
MO,2,64,3.125
RM,26,346,7.514450867052023
FR,3,55,5.454545454545454
PO,0,19,0.0
LI,2,37,5.405405405405405
CB,2,29,6.896551724137931
FI,8,83,9.63855421686747
RO,1,19,5.2631578947368425
MC,3,32,9.375
AP,0,21,0.0
VC,0,1,0.0
RE,3,43,6.976744186046512
AR,2,28,7.142857142857143
AT,0,3,0.0
TP,4,56,7.142857142857143
VB,0,3,0.0
CL,2,31,6.451612903225806
RN,2,26,7.6923076923076925
RG,1,38,2.6315789473684212
VA,2,73,2.73972602739726
FM,1,10,10.0
GE,3,53,5.660377358490566
VR,2,63,3.1746031746031744
MI,18,243,7.407407407407407
BN,6,38,15.789473684210526
PC,0,25,0.0
VV,0,17,0.0
UD,1,12,8.333333333333334